schema_version,run_id,suite,grammar_id,grammar_description,parser,case_id,size_label,parameter_name,parameter_value,token_count,input_tokens,input_sha256,timeout_seconds,status,outcome,accepted,ambiguity,tree_present,elapsed_ns,wall_elapsed_ns,exit_code,error_kind,detail
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n001,n001,n,1,1,a,ca978112ca1bbdcafac231b39a23dc4da786eff8147c4e72b9807785afee48bb,60.0,ok,parser_error,unknown,unknown,false,2145,97333,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n003,n003,n,3,3,a a a,bb6e995be430b5ada013a56dd224abfddbeff83ef54dd2fef79470c6cf440919,60.0,ok,parser_error,unknown,unknown,false,953,64361,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n005,n005,n,5,5,a a a a a,dcf26724f098d41cc1f3fbeee167bde3aab05eb59e85eaf77318374c136d82a1,60.0,ok,parser_error,unknown,unknown,false,953,46979,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n007,n007,n,7,7,a a a a a a a,c39b9e5f245ca64e7524d3d027ef1b7cbd9c9f2eba54ca591c7ecd770a2a07d7,60.0,ok,parser_error,unknown,unknown,false,953,45025,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n009,n009,n,9,9,a a a a a a a a a,5246bd9d247b3551cdb6eba59ea82519f675b231f59836e63169ee5864f90046,60.0,ok,parser_error,unknown,unknown,false,0,43372,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n011,n011,n,11,11,a a a a a a a a a a a,b83899a801d9f023f810c6e76f61d7bf5973986bd70abc4cc2863d97f9b2d782,60.0,ok,parser_error,unknown,unknown,false,0,41358,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n013,n013,n,13,13,a a a a a a a a a a a a a,0f19eca59bf1d47974b3df7c910fa2f7d0addfc109d422fe8c6a368c7b780a13,60.0,ok,parser_error,unknown,unknown,false,0,70001,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n015,n015,n,15,15,a a a a a a a a a a a a a a a,3416fc43996281553685fd94058cc330ea85b1701526c7b29085904306440a1f,60.0,ok,parser_error,unknown,unknown,false,953,99938,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n001,n001,n,1,1,a,ca978112ca1bbdcafac231b39a23dc4da786eff8147c4e72b9807785afee48bb,60.0,ok,accept,true,unique,true,4053,132369,,,
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n017,n017,n,17,17,a a a a a a a a a a a a a a a a a,3bccac4813bc2f376ff12845988fa5e600575c184ac5f21ab1b8915969532a0a,60.0,ok,parser_error,unknown,unknown,false,4053,125847,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n003,n003,n,3,3,a a a,bb6e995be430b5ada013a56dd224abfddbeff83ef54dd2fef79470c6cf440919,60.0,ok,accept,true,unique,true,8821,149441,,,
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n019,n019,n,19,19,a a a a a a a a a a a a a a a a a a a,92e55c5847d9d2f40be9a63ff52228772e1f012e98e45af96f74f7d6dd44c6e0,60.0,ok,parser_error,unknown,unknown,false,5006,159370,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n005,n005,n,5,5,a a a a a,dcf26724f098d41cc1f3fbeee167bde3aab05eb59e85eaf77318374c136d82a1,60.0,ok,accept,true,unique,true,25033,136016,,,
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n021,n021,n,21,21,a a a a a a a a a a a a a a a a a a a a a,52267fe9dc1a9390da3667ab75f1a4aca55c6d4f1325144f5c8e29b5727e2c8e,60.0,ok,parser_error,unknown,unknown,false,953,140094,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n007,n007,n,7,7,a a a a a a a,c39b9e5f245ca64e7524d3d027ef1b7cbd9c9f2eba54ca591c7ecd770a2a07d7,60.0,ok,accept,true,unique,true,17881,142859,,,
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n023,n023,n,23,23,a a a a a a a a a a a a a a a a a a a a a a a,e6799515bcbdd5ee6b53fe012a758de396640e9a8320bb62c60a135e2f2ed0a9,60.0,ok,parser_error,unknown,unknown,false,3099,135766,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n009,n009,n,9,9,a a a a a a a a a,5246bd9d247b3551cdb6eba59ea82519f675b231f59836e63169ee5864f90046,60.0,ok,accept,true,unique,true,25033,122541,,,
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n025,n025,n,25,25,a a a a a a a a a a a a a a a a a a a a a a a a a,81b5dccafd39c94829cdd6dbdb721e4bda6c9389d4a1928b885745a4a2398e96,60.0,ok,parser_error,unknown,unknown,false,0,118222,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n011,n011,n,11,11,a a a a a a a a a a a,b83899a801d9f023f810c6e76f61d7bf5973986bd70abc4cc2863d97f9b2d782,60.0,ok,accept,true,unique,true,30040,130906,,,
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n027,n027,n,27,27,a a a a a a a a a a a a a a a a a a a a a a a a a a a,2944e42c73262f1a71f9cef1670de3dfc87e6510817754bbe9215a96a5616aea,60.0,ok,parser_error,unknown,unknown,false,1192,127079,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n013,n013,n,13,13,a a a a a a a a a a a a a,0f19eca59bf1d47974b3df7c910fa2f7d0addfc109d422fe8c6a368c7b780a13,60.0,ok,accept,true,unique,true,36001,148570,,,
