suite,grammar_id,case_id,token_count,baseline_parser,compared_parser,baseline_elapsed_ns,compared_elapsed_ns,compared_over_baseline
classical,A1,classical.A1.large,161,lean,earley,1743414504,18562000,0.01064692301079996
classical,A1,classical.A1.medium,41,lean,earley,12028498,717000,0.05960843989000123
classical,A1,classical.A1.medium,41,lean,costar,12028498,10964870,0.9115743295630094
classical,A1,classical.A1.medium,41,earley,costar,717000,10964870,15.292705718270572
classical,A1,classical.A1.small,11,lean,earley,294444,50000,0.1698115770740786
classical,A1,classical.A1.small,11,lean,costar,294444,85830,0.29149855320536333
classical,A1,classical.A1.small,11,earley,costar,50000,85830,1.7166
classical,C1,classical.C1.large,511,lean,earley,26196254331,815766000,0.031140558863586947
classical,C1,classical.C1.large,511,lean,costar,26196254331,13047327041,0.49806078671179016
classical,C1,classical.C1.large,511,earley,costar,815766000,13047327041,15.993957876400831
classical,C1,classical.C1.medium,63,lean,earley,54131771,2845000,0.05255693555638518
classical,C1,classical.C1.medium,63,lean,costar,54131771,28987884,0.5355059231296904
classical,C1,classical.C1.medium,63,earley,costar,2845000,28987884,10.189062917398946
classical,C1,classical.C1.small,7,lean,earley,611891,61000,0.09969095803010666
classical,C1,classical.C1.small,7,lean,costar,611891,159025,0.2598910590284871
classical,C1,classical.C1.small,7,earley,costar,61000,159025,2.606967213114754
classical,P1,classical.P1.large,512,lean,earley,1786621714,12128000,0.006788230493878348
classical,P1,classical.P1.large,512,lean,costar,1786621714,586986,0.0003285452065204218
classical,P1,classical.P1.large,512,earley,costar,12128000,586986,0.04839924142480211
classical,P1,classical.P1.medium,64,lean,earley,26954105,366000,0.01357863672342302
classical,P1,classical.P1.medium,64,lean,costar,26954105,94890,0.003520428520998935
classical,P1,classical.P1.medium,64,earley,costar,366000,94890,0.2592622950819672
classical,P1,classical.P1.small,8,lean,earley,716829,50000,0.06975164230241801
classical,P1,classical.P1.small,8,lean,costar,716829,15974,0.022284254682776505
classical,P1,classical.P1.small,8,earley,costar,50000,15974,0.31948
classical,P2,classical.P2.large,512,lean,earley,393401303,12909000,0.032813821158085996
classical,P2,classical.P2.large,512,lean,costar,393401303,324010,0.0008236119136595742
classical,P2,classical.P2.large,512,earley,costar,12909000,324010,0.025099542954527848
classical,P2,classical.P2.medium,64,lean,earley,5359733,268000,0.05000249079571688
classical,P2,classical.P2.medium,64,lean,costar,5359733,51975,0.009697311414579794
classical,P2,classical.P2.medium,64,earley,costar,268000,51975,0.1939365671641791
classical,P2,classical.P2.small,8,lean,earley,197411,25000,0.12663934633834995
classical,P2,classical.P2.small,8,lean,costar,197411,10967,0.05555414845170735
classical,P2,classical.P2.small,8,earley,costar,25000,10967,0.43868
classical,R1,classical.R1.large,257,lean,earley,352898662,8278000,0.023457158927964426
classical,R1,classical.R1.large,257,lean,costar,352898662,319957,0.0009066540467642805
classical,R1,classical.R1.large,257,earley,costar,8278000,319957,0.03865148586615125
classical,R1,classical.R1.medium,33,lean,earley,6129711,191000,0.03115970720316178
classical,R1,classical.R1.medium,33,lean,costar,6129711,51975,0.008479192575310646
classical,R1,classical.R1.medium,33,earley,costar,191000,51975,0.27212041884816757
classical,R1,classical.R1.small,5,lean,earley,178897,44000,0.24595158107737972
classical,R1,classical.R1.small,5,lean,costar,178897,14066,0.07862624862350961
classical,R1,classical.R1.small,5,earley,costar,44000,14066,0.3196818181818182
classical,R2,classical.R2.large,513,lean,earley,1687892579,27606000,0.016355306222363575
classical,R2,classical.R2.large,513,lean,costar,1687892579,650882,0.0003856181418758403
classical,R2,classical.R2.large,513,earley,costar,27606000,650882,0.023577555603854234
classical,R2,classical.R2.medium,65,lean,earley,21651060,382000,0.01764347796366552
classical,R2,classical.R2.medium,65,lean,costar,21651060,78916,0.0036449023742948384
classical,R2,classical.R2.medium,65,earley,costar,382000,78916,0.20658638743455499
classical,R2,classical.R2.small,7,lean,earley,401235,27000,0.06729223522374668
classical,R2,classical.R2.small,7,lean,costar,401235,21219,0.05288421997084003
classical,R2,classical.R2.small,7,earley,costar,27000,21219,0.7858888888888889
earley,cfg1,earley.cfg1.n001,1,lean,earley,67176,16000,0.23818030248898417
earley,cfg1,earley.cfg1.n003,3,lean,earley,880857,29000,0.03292248344509949
earley,cfg1,earley.cfg1.n005,5,lean,earley,5269443,88000,0.016700057292582917
earley,cfg1,earley.cfg1.n007,7,lean,earley,16188303,159000,0.009821906595150831
earley,cfg1,earley.cfg1.n009,9,lean,earley,48357058,300000,0.006203851359195591
earley,cfg1,earley.cfg1.n011,11,lean,earley,118628400,319000,0.0026890693965357366
